Name,Insta Handle,Twitter Handles,Final Insta,Final Twitter
Aamir Khan,_aamirkhan,aamir_khan,0.48,1.52
Abhishek Bachchan,bachchan,juniorbachchan,0.88,1.93
Ajay Devgn,ajaydevgn,ajaydevgn,0.59,1.23
Akshay Kumar,akshaykumar,akshaykumar,1.18,1.86
Alia Bhatt,aliaabhatt,aliaa08,1.29,1.24
Amitabh Bachchan,amitabhbachchan,SrBachchan,1.54,2.17
Ananya Pandey,ananyapanday,ananyapandayy,1.02,1.6
Anil Kapoor,anilskapoor,AnilKapoor,0.45,1.07
Anupam Kher,anupampkher,AnupamPKher,1.19,1.5
Anushka Sharma,anushkasharma,anushkasharma,1.45,1.44
Arjun Kapoor,arjunkapoor,arjunk26,0.59,1.01
Arjun Rampal,rampal72,rampalarjun,0.48,0.33
Ayushmann Khurrana,ayushmannk,ayushmannk,0.75,1.38
Bhumi Pednekar,bhumipednekar,bhumipednekar,1.2,0.89
Deepika Padukone,deepikapadukone,deepikapadukone,1.27,1.46
Disha Patani,dishapatani,DishPatani,1.14,1.23
Farhan Akhtar,faroutakhtar,FarOutAkhtar,0.43,1.12
Fatima Sana Shaikh,fatimasanashaikh,fattysanashaikh,0.49,0.09
Hrithik Roshan,hrithikroshan,iHrithik,0.78,1.66
Huma Qureshi,iamhumaq,humasqureshi,0.55,0.82
Ileana D'Cruz,ileana_official,ileana_official,0.5,0.39
Jacqueline Fernandez,jacquelinef143,asli_jacqueline,1.17,1.16
Janhvi Kapoor,janhvikapoor,janhvikapoorr,0.63,0.65
John Abraham,thejohnabraham,TheJohnAbraham,0.51,1.06
Kareena Kapoor Khan,therealkareenakapoor,,0.93,0
Kartik Aaryan,kartikaaryan,TheAaryanKartik,1.13,1.58
Katrina Kaif,katrinakaif,KatrinaKaif_,1.2,0.06
Kiara Advani,kiaraaliaadvani,advani_kiara,0.92,1.2
Kriti Sanon,kritisanon,kritisanon,1.1,1.01
Madhavan,actormaddy,ActorMadhavan,0.64,1.82
Manoj Bajpayee,bajpayee.manoj,BajpayeeManoj,0.82,1.53
Mrunal Thakur,mrunalofficial2016,mrunal0801,0.72,0.51
Nargis Fakhri,nargisfakhri,NargisFakhri,0.49,0.97
Naseeruddin Shah,naseerudinshah,naseeruddinshah,0,0.13
Nawazuddin Siddiqui,nawazuddin._siddiqui,Nawazuddin_S,0.81,1.14
Nushrat Bharucha,,bnushrat,0,0
Parineeti Chopra,parineetichopra,ParineetiChopra,0.84,0.44
Prabhas,actorprabhas,PrabhasRaju,0.09,1.07
Preity Zinta,realpz,realpreityzinta,0.74,0.97
Priyanka Chopra,priyankachopra,priyankachopra,1.29,1.57
Radhika Apte,radhikaofficial,radhika_apte,0.63,0.93
Rajkumaar Rao,rajkummar_rao,RajkummarRao,0.98,1.05
Rakul Preet Singh,rakulpreet,Rakulpreet,0.77,1.16
Ranbir Kapoor,ranbirkapoor,,1.03,0
Randeep Hooda,randeephooda,RandeepHooda,0.88,1.14
Ranveer Singh,ranveersingh,ranveerofficial,1,1.35
Richa Chadda,therichachadha,richachadha,0.73,0.75
Riteish Deshmukh,riteishd,Riteishd,0.61,1.29
Saif Ali Khan,,,0,0
Salman Khan,beingsalmankhan,BeingSalmanKhan,1.03,1.91
Sanjana Sanghi,sanjanasanghi96,sanjanasanghi96,1.18,1.35
Sanjay Dutt,duttsanjay,duttsanjay,0.94,1.02
Sanya Malhotra,sanyamalhotra_,sanyamalhotra07,0.71,0.11
Sara Ali Khan,saraalikhan95,isaraalikhan,1.05,0.02
Shah Rukh Khan,iamsrk,iamsrk,1.22,1.91
Shahid Kapoor,shahidkapoor,shahidkapoor,1.01,1.26
Shraddha Kapoor,shraddhakapoor,ShraddhaKapoor,1.32,1.16
Shreyas Talpade,shreyastalpade27,shreyastalpade1,0.38,0.13
Shruti Haasan,shrutzhaasan,shrutihaasan,1.2,0.85
Sidharth Malhotra,sidmalhotra,SidMalhotra,0.59,1.17
Sonakshi Sinha,aslisona,,0.84,0
Sonam Kapoor Ahuja,sonamkapoor,sonamakapoor,1.31,1.35
Sonu Sood,sonu_sood,SonuSood,0.72,2.05
Sunny Leone,sunnyleone,SunnyLeone,1.61,1.15
Taapsee Pannu,taapsee,taapsee,0.71,1.01
Tamannaah Bhatia,tamannaahspeaks,tamannaahspeaks,0.63,1.08
Tara Sutaria,tarasutaria,tarasutaria,0.99,0.26
Tiger Shroff,tigerjackieshroff,iTIGERSHROFF,0.91,0.26
Urvashi Rautela,urvashirautela,UrvashiRautela,1.46,1.02
Vaani Kapoor,_vaanikapoor_,vaaniofficial,0.75,0.84
Varun Dhawan,varundvn,varun_dvn,1.05,1.14
Vicky Kaushal,vickykaushal09,vickykaushal09,1.23,1.46
Vidya Balan,balanvidya,vidya_balan,0.3,0.32
Vidyut Jammwal,mevidyutjammwal,VidyutJammwal,0.61,1.31
Yami Gautam,yamigautam,yamigautam,0.5,0.38
